회사명,등급,005000/종업원수,011100/  현금및현금등가물,012000/유동자산(계),013000/투자자산(계),013200/유형자산(계),013400/무형자산,014000/비유동자산,015000/총자산(지급보증제외),016000/유동부채(계),017000/비유동부채(계),018000/부채총계,018100/자본금,018102/[1주의 금액],018110/보통주자본금,018111/ [보통주발행주식수],018200/ 자본잉여금,018300/ 이익잉여금,018900/자기자본,019000/부채와자본총계,021000/영업수익,023000/매출총이익,024000/판매비와관리비,025000/영업이익,025100/영업외수익,026000/영업외비용,028000/법인세차감전순이익(손실),028100/법인세비용(법인세등),029000/당기순이익,029009/기본주당순이익,035000/(합계)처분가능이익잉여금,036300/배당금,036400/배당률,036310/현금배당금,061000/영업활동으로인한현금흐름,061100/ 당기순이익(손실),062000/투자활동으로인한현금흐름,062500/ 투자활동으로인한현금유출액,063000/재무활동으로인한현금흐름,064000/현금예금의증가,065000/기초현금과예금,066000/기말현금과예금,091010/총자산증가율,091050/자기자본증가율,091060/영업수익증가율,091065/영업이익증가율,091070/법인세비용차감전순이익증가율,091080/순이익증가율,091090/종업원수증가율,092010/총자본세전이익율,092060/자기자본법인세비용차감전순이익율,092070/자기자본순이익율,092080/자본금법인세비용차감전순이익율,092090/자본금순이익율,092100/매출액법인세비용차감전순이익율,092110/매출액순이익율,092120/매출액영업이익율,093010/자기자본비율,093060/부채비율,094010/총자본회전율,093190/유보액대납입자본비율,095020/종업원1인당영업수익
대성에너지,A2,343,6370687800,2.11299E+11,14591408000,4.20358E+11,2108487000,4.3924E+11,3.85447E+11,2.38537E+11,1.1057E+11,3.49108E+11,22016620000,500,27500000000,27500000,2.05806E+11,68263136600,3.01431E+11,6.50539E+11,7.68799E+11,88953862400,1.10018E+11,17409844400,5412624600,5746336200,17076133800,3234745400,13841387800,503.4,11643136600,6875000000,25,6875000000,49813239200,13841387800,-41715073200,4.24932E+11,-9960062000,-1861896400,8232583600,6370687800,2.24,1.494,1.85,-11.2,-6.858,-4.312,-1.684,2.654,5.11,4.626,62.096,45.314,2.222,1.802,2.264,46.336,115.818,1.198,996.112,1828859340
대성홀딩스,A2,3001.2,34110668200,54687016200,3.37303E+11,2274939400,507914600,3.4132E+11,1.48165E+12,59465189400,94010637400,1.53476E+11,2.85552E+11,5000,16089459000,16089459,17660078000,1.68257E+11,2.42531E+11,3.96007E+11,24063612200,2.15346E+11,7112737400,9502624000,1684987800,4214238000,6973373800,687333000,6286040800,390.6,58012544200,4022365000,25,4022365000,6476654600,6286040800,11953807800,1.0738E+11,-10197929400,8232532400,25878135800,34110668200,-1.01,0.722,-9.234,2.114,-0.344,-2.478,-10.18,1.75,-3.98,2.604,43.342,19.72,29.072,26.184,39.612,61.248,63.284,0.06,1407.388,426907118
대우건설,A2,5804,5.1921E+11,4.70696E+12,1.49632E+12,2.45891E+11,46397745800,3.47478E+12,8.2477E+12,4.72651E+12,1.24815E+12,5.97466E+12,2.07811E+12,0,2.07811E+12,415622638,5.482E+11,-1.16711E+11,2.20708E+12,8.18174E+12,1.06556E+13,9.48378E+11,3.76755E+11,4.84466E+11,2.98834E+11,4.56558E+11,3.26742E+11,89045906800,2.37696E+11,578.6,-1.91781E+11,0,0,0,1.06833E+11,2.37696E+11,55429817000,1.05308E+12,-1.67083E+11,-4819569000,5.25581E+11,5.1921E+11,-5.578,3.636,-4.63,59.55,35.34,11.15,-6.68,3.894,12.75,10.942,15.724,11.92,3.1,2.246,4.608,26.98,270.702,1.266,11.1,1930373286
대웅제약,A2,1098.2,37781529800,3.76937E+11,2.88127E+11,3.11729E+11,73571257600,6.90255E+11,7.52583E+11,2.88673E+11,2.3656E+11,5.25233E+11,26871146800,1000,28966438000,11586575,1.00358E+11,4.61695E+11,5.41959E+11,1.06719E+12,9.12815E+11,2.47708E+11,3.2156E+11,36313149400,14846362600,25338884600,25820627400,10241951600,15578675800,1509.6,19994013000,6192522000,24,6192522000,57575746600,15578675800,-55913879000,77234211000,-11420927400,-9759059200,47602924000,37781529800,2.804,1.308,8.98,-8.19,-30.39,-53.034,-4.39,2.468,1.32,2.922,89.142,10.47,2.89,1.792,4.016,50.792,96.944,0.87,1926.054,642796210
동아쏘시오홀딩스,A2,561,70810577400,79906135000,7.03704E+11,41934478200,7204194600,7.5745E+11,5.3233E+11,1.36735E+11,1.1592E+11,2.52654E+11,46214882000,800,30691338000,6138267.6,3.30882E+11,3.71528E+11,5.84702E+11,8.37356E+11,75709241000,68311739200,46453520000,26122990000,4197038600,67885593800,-37565565200,958599400,-38524164600,-6273.4,13269562600,6138267600,20,6138267600,31067065800,-38524164600,-48551855600,51080050200,7819909600,-9664880200,80723312400,70810577400,-3.854,-6.434,11.43,-18.06,0,373.32,-6.266,-4.456,-3.21,-6.568,-122.17,-94.95,-54.782,-55.942,34.444,69.778,43.33,0.088,1805.104,354049254
무림페이퍼,A2,436,52702970600,2.67378E+11,3.98919E+11,2.34013E+11,2057481800,6.35549E+11,1.37286E+12,3.30394E+11,2.57124E+11,5.87518E+11,1.04023E+11,500,1.04023E+11,41609310,36792029000,1.40777E+11,3.15409E+11,9.02927E+11,4.70528E+11,2.02559E+11,39902453200,7180809600,21453564800,29916671600,-1282298200,-234817800,-1047479800,-24.8,1.22082E+11,1664372800,1.6,1664372800,-3460232600,-1047479800,-8318510400,9300096800,16711629600,4932887000,48169553000,52702970600,3.46,-0.434,1.946,-71.402,-18.32,-20.22,8.694,-0.124,7.63,-0.328,-1.232,159.18,-0.204,-0.168,1.566,34.954,186.392,0.532,203.212,1032446850
무림피앤피,A2,6262.8,64447592200,2.85272E+11,93720141400,7.5376E+11,3609795800,8.55569E+11,1.67451E+13,3.11155E+11,2.36874E+11,5.48029E+11,2.89991E+11,5000,1.55921E+11,62368324,1.19844E+11,3.19065E+11,5.92811E+11,1.14084E+12,6.32009E+11,1.32854E+12,44521883600,79960722400,14020823200,19804758200,74176787400,18853065800,55323721000,887.2,1.45753E+11,13096393800,8.4,13096393800,1.03763E+11,55323721000,-67517307800,68236295400,-36044793400,200739200,63871853000,64447592200,4.348,8.194,4.938,161.728,91.46,90.97,3.478,6.606,8.916,9.612,47.574,142.566,11.636,8.676,12.512,51.938,92.568,0.562,280.224,964324986
사조산업,A2,438.4,11247396000,1.58624E+11,1.75785E+11,1.74435E+11,3137175000,3.6627E+11,2.52398E+11,1.44286E+11,1.04373E+11,2.48659E+11,21489230400,500,25000000000,5000000,16736069000,2.31242E+11,2.76235E+11,5.24894E+11,4.10301E+11,32643599200,20788879600,33007974800,8994251800,13433436200,28568790400,7423380200,21145410600,4276.2,2.21034E+11,1137350000,4.6,1137350000,30527117000,21145410600,-19770110800,37240957400,-257733800,10499272600,750458400,11247396000,5.11,8.284,-1.866,1.746,10.506,10.892,-6.056,5.578,8.148,7.966,114.278,62.902,6.994,5.184,8.04,52.652,89.948,0.8,1005.654,560577370
삼양패키징,A2,665.2,20153312400,97726759000,7096226200,2.40587E+11,1.79964E+11,4.2881E+11,4.97394E+11,72146423800,1.96823E+11,2.68969E+11,45870876400,500,71049020000,14209804,1.15703E+11,70813302000,2.57567E+11,5.26536E+11,3.53151E+11,48771440200,35013980800,38068585400,2735748200,9864506800,30939826800,6913492800,24026334400,1690.6,35413302000,7104902000,10,7104902000,47159591000,24026334400,-48965033600,49789906800,-18417600,-1823859600,22024802400,20200942800,6.3,9.892,8.918,-9.092,-8.158,-7.86,5.74,6.082,15.58,9.848,43.548,-39.016,8.832,6.862,10.852,48.936,104.366,0.688,262.522,816309850
세아베스틸,A2,1502,8729771000,7.46964E+11,8.35661E+11,1.00146E+12,5390559800,1.84792E+12,2.48539E+12,5.13692E+11,3.9493E+11,9.08622E+11,2.19311E+11,0,2.19311E+11,35862119,3.08816E+11,1.16622E+12,1.68626E+12,2.59489E+12,1.99641E+12,1.11214E+11,98527145200,58213749400,29591398800,30944113200,56861035000,7624637600,49236397000,1383,53577672800,30968214800,17.4,30968214800,78473606200,60410638600,-1.12733E+11,1.13678E+11,39697042600,5437270400,3294325800,8729771000,4.92,1.128,11.188,-31.438,-37.066,-34.494,1.372,2.292,7.54,2.956,25.924,7.84,2.93,2.524,2.996,65.074,53.912,0.786,673.412,1315809356
