회사명,등급,005000/종업원수,011100/  현금및현금등가물,012000/유동자산(계),013000/투자자산(계),013200/유형자산(계),013400/무형자산,014000/비유동자산,015000/총자산(지급보증제외),016000/유동부채(계),017000/비유동부채(계),018000/부채총계,018100/자본금,018102/[1주의 금액],018110/보통주자본금,018111/ [보통주발행주식수],018200/ 자본잉여금,018300/ 이익잉여금,018900/자기자본,019000/부채와자본총계,021000/영업수익,023000/매출총이익,024000/판매비와관리비,025000/영업이익,025100/영업외수익,026000/영업외비용,028000/법인세차감전순이익(손실),028100/법인세비용(법인세등),029000/당기순이익,029009/기본주당순이익,035000/(합계)처분가능이익잉여금,036300/배당금,036400/배당률,036310/현금배당금,061000/영업활동으로인한현금흐름,061100/ 당기순이익(손실),062000/투자활동으로인한현금흐름,062500/ 투자활동으로인한현금유출액,063000/재무활동으로인한현금흐름,064000/현금예금의증가,065000/기초현금과예금,066000/기말현금과예금,091010/총자산증가율,091050/자기자본증가율,091060/영업수익증가율,091065/영업이익증가율,091070/법인세비용차감전순이익증가율,091080/순이익증가율,091090/종업원수증가율,092010/총자본세전이익율,092060/자기자본법인세비용차감전순이익율,092070/자기자본순이익율,092080/자본금법인세비용차감전순이익율,092090/자본금순이익율,092100/매출액법인세비용차감전순이익율,092110/매출액순이익율,092120/매출액영업이익율,093010/자기자본비율,093060/부채비율,094010/총자본회전율,093190/유보액대납입자본비율,095020/종업원1인당영업수익
크라운제과,A2,733.2,11606491400,1.04481E+11,12690670600,2.08226E+11,813254800,2.26642E+11,4.05757E+11,1.25362E+11,80537713400,2.059E+11,23247475200,5000,2504770000,12523850,1.06638E+11,16110138600,1.25224E+11,3.31123E+11,3.61487E+11,1.06566E+11,1.11556E+11,20607958600,1366536400,4192538800,17781956200,4106343600,13675612600,1028.6,15910709400,3323823000,125,3323823000,32932720400,13675612600,-14810866800,15505086000,-9436326000,8685527600,2922980200,11606491400,1.24,6.12,21.07,-4.16,-0.92,0.1,-1.1,5.392,2.302,11.122,668.626,302.03,4.964,3.816,5.762,37.812,164.604,1.094,4615.48,250226292
팬오션,A2,1793.6,1.55659E+11,5.70817E+11,67756200000,3.2909E+12,4813800000,3.3904E+12,1.73517E+12,5.93631E+11,8.44775E+11,1.43841E+12,3.86906E+11,1700,5.34557E+11,534556649,1.94075E+12,12407600000,2.52281E+12,3.96122E+12,2.20772E+12,1.64384E+11,44777200000,2.02481E+11,19502000000,77308600000,1.44675E+11,-159200000,1.44834E+11,271.2,-25413400000,0,0,0,2.65711E+11,1.44834E+11,-1.22552E+11,1.62007E+11,-1.49894E+11,-6734000000,1.66786E+11,1.55659E+11,-0.448,3.966,19.8,11.118,22.976,23.57,-18.98,3.638,2.572,5.842,27.068,19.94,6.592,6.598,9.222,63.652,57.166,0.554,371.946,2200717036
풍산,A2,1343.4,5891839800,1.02199E+12,3.93976E+11,9.76146E+11,19242382200,1.39419E+12,1.31382E+12,6.93678E+11,3.73347E+11,1.06703E+12,91463386000,2600,1.40121E+11,28024278,5.13407E+11,7.18766E+11,1.34916E+12,2.41618E+12,2.20043E+12,1.35682E+11,1.15341E+11,1.39048E+11,82845952200,90021012400,1.31873E+11,35264240000,96608572800,3448.6,7.04176E+11,19048548600,13.6,19048548600,1.10296E+11,1.31873E+11,-69108633800,72497341800,-41314506200,-126980000,6018819800,5891839800,0.44,5.562,1.86,-21.63,-28.39,-31.812,0.714,5.476,7.584,7.448,94.116,52.52,5.942,4.354,6.282,55.864,79.256,0.91,862.958,644610548
하이트진로,A2,1342,2.26181E+11,9.11077E+11,3.76094E+11,1.8202E+12,1.67027E+11,2.44031E+12,1.98488E+12,1.59972E+12,5.12942E+11,2.11267E+12,2.44196E+11,700,3.63168E+11,70133611,7.07136E+11,2.48482E+11,1.23872E+12,3.35139E+12,1.66054E+12,4.14835E+11,6.05007E+11,87427258000,16579005000,63538754000,40467509000,18069432800,22398075600,320,2.95732E+11,55882769000,16,55882769000,2.20681E+11,22398075600,-1.00651E+11,2.40539E+11,-65821072600,54209712000,1.72528E+11,2.26181E+11,-0.03,-4.418,0.412,-6.966,-8.826,-4.352,-2.308,1.202,3.236,1.772,10.97,-54.058,2.436,1.348,5.262,36.954,170.606,0.494,252.414,545405692
하이트진로홀딩스,A2,36,3130800,1503782800,1.6228E+12,1778400,3146200,1.62391E+12,9.5326E+11,4.89226E+11,1.41453E+11,6.30678E+11,77468508600,800,1.16034E+11,23206765,5.61766E+11,3.95792E+11,9.94738E+11,1.62542E+12,35031539400,38421376600,2644567200,32386972200,391780400,22411567800,10367184800,141838800,10225346000,465,11038105000,3952820600,3.6,3952820600,11925300200,10225346000,226068000,8336000,-17954269400,-5802900200,5806031400,3130800,-0.32,0.804,-12.614,-13.056,-45.9,-44.644,18.332,0.636,36.926,1.032,8.756,19.346,29.086,28.732,92.454,61.196,63.404,0.02,808.202,3489601160
한국자산신탁,A2,172,6506248400,0,0,0,3348878400,0,8.53983E+11,0,0,3.34227E+11,49521967000,500,49521967000,99043933.4,1.3093E+11,3.52666E+11,5.19756E+11,8.53983E+11,2.03376E+11,0,36045035400,1.34314E+11,1368107000,639576000,1.35042E+11,33396440000,1.01646E+11,1042.6,2.61062E+11,24409933400,50,19527946800,-1.647E+11,1.01646E+11,28313703000,23596730000,1.36781E+11,394743800,5990686200,6385430600,33.97,18.09,29.386,22.786,23.236,22.14,8.416,18.71,28.514,21.48,287.45,216.456,66.446,50.018,66.096,61.382,63.59,0.282,971.65,1184254696
한국콜마,A2,6462.8,8247706200,2.73576E+11,2.79816E+11,1.81307E+11,7082820800,4.72377E+11,5.3808E+11,2.04833E+11,1.57503E+11,3.62336E+11,7.86934E+11,5000,10924901800,21849803.2,1.78464E+11,1.94222E+11,3.83617E+11,7.45953E+11,8.07683E+11,1.3989E+11,80844898600,67122321200,5406828400,9790325200,62738823400,13798377600,48940446400,2281.8,1.84746E+11,6957181200,63.6,6957181200,35090520000,48940446400,-2.50297E+11,6.86155E+11,2.15439E+11,232338000,8060229200,8247706200,52.776,34.702,22.496,4.528,3.988,4.61,7.684,10.458,8.18,14.808,583.658,313.928,7.81,6.096,8.372,51.942,92.896,1.334,3395.932,759459402
한국토지신탁,A2,192.6,1.27002E+11,0,0,0,2930039000,0,1.22837E+12,0,0,5.10836E+11,2.52489E+11,1000,2.52489E+11,252489230,0,4.73855E+11,7.17538E+11,1.22837E+12,2.44369E+11,0,45528635400,1.77579E+11,1555080800,6886705800,1.72247E+11,41495326000,1.30752E+11,533.4,1.20034E+11,25847574200,10.6,25847574200,-20475200,1.30752E+11,30499000600,8773582200,56427888800,86906414600,25799621600,1.12706E+11,17.364,14.7,22.098,26.604,22.158,22.188,6.368,15.17,25.692,19.5,68.22,51.784,70.578,53.574,72.682,58.42,71.166,0.214,190.296,1268297856
한라홀딩스,A2,153.6,85216240600,2.99276E+11,1.05196E+12,63556491800,29193844000,1.16252E+12,2.00843E+12,2.95687E+11,3.01411E+11,5.97098E+11,97451708000,5000,55086180000,10802691,2.64749E+11,6.08214E+11,8.64701E+11,1.4618E+12,6.69121E+11,1.08431E+11,54909809200,54196727200,49784479800,47108006200,56873200800,17082062000,39791138800,3731,80671066200,18379382000,34.8,18379382000,15368278800,56873200800,46860982600,33327620000,-59034262000,3194999800,83084244600,85216240600,-2.82,-1.31,4.292,-20.112,-27.088,-37.226,5.02,3.808,10.914,4.564,103.244,26.694,8.596,6.028,8.108,59.166,69.014,0.452,1490.064,2328753266
한솔제지,A2,452.6,3773558800,5.0875E+11,38677036600,1.12681E+12,8807302600,1.17725E+12,7.21034E+11,7.73096E+11,3.49768E+11,1.12286E+12,75807848000,5000,1.19003E+11,23800576,3.17711E+11,91977523800,5.63137E+11,1.686E+12,1.65915E+12,1.73976E+11,1.77223E+11,97719607600,33308210400,69689006400,61338811600,15430876400,42959875600,1827.8,35085683800,9511336000,8,9511336000,1.14688E+11,42959875600,-51648016400,82147978400,-63461526000,-421078400,4194637800,3773558800,12.34,14.08,13.436,36.666,4.396,1.456,13.32,3.858,4.446,8.198,53.388,25.718,3.722,2.618,5.81,33.392,199.664,1.034,373.566,1523725122
한솔케미칼,A2,434,16213996200,99986881000,97243612400,3.41128E+11,4660678400,4.49462E+11,4.59333E+11,81754349400,1.35481E+11,2.17235E+11,56475975000,5000,56475975000,11295195,30497848000,2.50262E+11,3.32214E+11,5.49449E+11,3.82358E+11,2.72648E+11,34138502600,76516924000,5350410200,6834776000,75032558200,16916945400,58115612800,5241.2,2.42594E+11,12418912800,22.4,12418912800,79513749200,58115612800,-80628319800,80961261600,-1415482400,-2530053000,18873181600,16213996200,14.062,15.668,15.144,25.29,24.212,22.774,6.696,14.46,9.236,18.636,132.854,72.792,19.462,15.08,19.86,60.444,65.446,0.744,491.854,841018952
해태제과식품,A2,1095.8,11525329800,1.81273E+11,64443703400,3.1375E+11,1.8653E+11,5.80773E+11,4.93628E+11,2.60716E+11,2.14902E+11,4.75619E+11,14099958200,500,14558411000,29116822,1.20337E+11,1.98789E+11,2.86427E+11,7.62046E+11,7.21025E+11,1.49159E+11,2.21177E+11,20302539600,5228443000,18317916200,7213065800,2257705800,4955360000,186.6,1.98108E+11,3977649000,30,3977649000,47463742600,4955360000,-34294308800,41232957200,-13213433000,-43999800,11589464000,11525329800,-1.99,0.018,-4.982,-9.566,-37.834,-52.092,-2.964,0.938,-19.028,1.732,49.546,-16.102,0.996,0.686,2.824,37.598,166.05,0.936,2158.746,314601752
현대건설기계,A2,4600.2,3.23671E+11,1.24399E+12,2.10084E+11,4.77177E+11,89699719000,7.81837E+11,7.40537E+12,5.66292E+11,3.53368E+11,9.1966E+11,2.02453E+11,5000,78854969000,15770993.8,8.87823E+11,94714666400,1.10617E+12,2.02583E+12,2.23751E+12,5.0391E+11,2.02156E+11,1.00438E+11,53794035800,75429114800,78802819400,19047436200,59755383200,3477.2,94714666400,16429647000,17,16429647000,855212200,59755383200,-2.16622E+11,2.25842E+11,1.96514E+11,-19252684200,3.42924E+11,3.23671E+11,10.65,3.07,37.12,-18.62,-22.53,-19.3,9.33,4.028,17.636,5.458,131.09,43.152,3.678,2.778,4.674,54.694,83.044,1.134,1488.048,1586930046
현대로템,A2,1572.8,3.74468E+11,2.52579E+12,1.04222E+11,8.65774E+11,1.2622E+11,1.2015E+12,1.55791E+12,1.46886E+12,1.10124E+12,2.5701E+12,2.72913E+11,3200,4.25E+11,85000000,4.0839E+11,3.25529E+11,1.15719E+12,3.72729E+12,2.22496E+12,-13551612200,1.68371E+11,-1.2511E+11,89620423200,1.49933E+11,-1.85423E+11,-4842528400,-1.8058E+11,-2124.4,1.24467E+11,0,0,0,35142271000,-1.8058E+11,-7279232000,47271521000,-1.18219E+11,-90356380600,4.65212E+11,3.74468E+11,-2.404,-13.608,-10.268,-73.11,0,0,0.778,-4.962,2.94,-15.082,-43.63,-49.298,-8.578,-8.344,-5.862,31.068,226.468,0.592,172.278,620023834
현대엘리베이터,A2,1870.4,2.69383E+11,7.35234E+11,6.99263E+11,1.59448E+11,30730509200,1.02515E+12,1.6986E+12,5.59273E+11,2.49113E+11,8.08385E+11,1.30541E+11,1000,1.3074E+11,26147964.8,5.21414E+11,2.72072E+11,9.51998E+11,1.76038E+12,1.65192E+12,2.91717E+11,1.51348E+11,1.58904E+11,41613007000,1.17392E+11,83124845000,27933836800,55191008200,2197.4,2.15168E+11,19591966200,14.8,19591966200,1.6191E+11,55191008200,-2.18691E+11,2.66548E+11,46837132200,-9944216000,2.79632E+11,2.69383E+11,9.536,12.1,1.672,-13.864,-74.27,-26.418,4.99,5.092,17.82,6.376,66.58,19.01,4.946,3.28,9.6,54.02,85.376,0.98,627.528,736733220
현대일렉트릭앤에너지시스템,A2,1281.6,3.01994E+11,1.44817E+12,1.15203E+11,4.24116E+11,28341317400,6.67915E+11,1.09321E+12,8.00523E+11,3.91158E+11,1.19168E+12,69071405000,500,81482971000,16296594.2,8.92778E+11,-96844207400,9.244E+11,2.11608E+12,1.61941E+12,83703646800,1.7616E+11,-30880337600,59596048000,1.48801E+11,-1.20085E+11,-19178915200,-1.00906E+11,-4877.4,-96844207400,0,0,0,-3256752000,-1.00906E+11,-1.40793E+11,1.51447E+11,2.19917E+11,75867078800,2.26438E+11,3.01994E+11,2.62,-18.29,19.52,0,0,0,-8.93,-5.688,3.97,-10.756,-151.286,-114.984,-6.828,-5.762,-1.5,43.744,131.444,0.772,1235.002,612357834
현대종합상사,A2,244.4,78281804800,6.47804E+11,3.00285E+11,339312600,13311276000,3.17215E+11,1.05156E+12,5.83276E+11,54610802800,6.37887E+11,42286898000,500,66144830000,13228966,0,4.33314E+11,3.27132E+11,9.65019E+11,3.37302E+12,88081555000,58674336400,25115724400,1.06293E+11,1.27654E+11,3755374400,-6408199200,10163573000,801.2,4.26197E+11,7595380000,12,7595380000,17388259800,10163573000,-6214445600,16076374600,-49423062400,-38249248200,1.16972E+11,78281804800,-15.212,-15.214,11.296,37.848,-8.06,317.49,-3.59,0.28,4.12,2.4,5.68,-10.99,0.122,0.326,0.744,33.866,195.302,3.238,412.828,13050851512
현대중공업지주,A2,337,1.76756E+11,3.59591E+11,7.5631E+12,53744049200,13254424400,7.63114E+12,3.42965E+12,1.62818E+12,8.91929E+11,2.52011E+12,82376939000,5000,81433085000,16286617,3.89045E+12,1.79255E+12,5.47062E+12,7.99073E+12,5.337E+11,2.58826E+11,35530521000,3.156E+11,29268570800,1.81367E+11,1.63501E+11,-2651668200,1.66153E+11,12357.6,1.66103E+12,2.70501E+11,5.06,2.70501E+11,2.21384E+11,1.66153E+11,-5.84331E+11,6.02857E+11,2.56099E+11,-1.06848E+11,2.83798E+11,1.76756E+11,5.16,2.54,24.52,19.71,-42.69,-40.5,35.91,2.084,-6.99,3.062,200.778,125.582,31.94,32.396,59.256,68.482,46.048,0.066,7219.094,1706028856
현대차증권,A2,508,3.04078E+11,1.11534E+12,88359155800,28074487800,24538820200,0,3.4912E+12,0,2.6162E+12,5.25129E+12,2.29205E+11,5000,1.46686E+11,29337111,2.90976E+11,2.9058E+11,8.16783E+11,6.06807E+12,5.56697E+11,0,1.35144E+11,72685485000,1009201400,607862000,73086824400,18644982600,54441842400,1855.6,54500174200,12614957600,8.6,12614957600,49117423200,73086824400,-2.14051E+11,5.77473E+11,2.08537E+11,43603524400,1.12777E+11,1.5638E+11,4.786,5.23,8.48,11.008,11.75,10.024,0.3,1.226,7.008,6.85,49.824,25.074,13.266,9.896,13.206,13.498,644.214,0.096,456.824,813777150
휴비스,A2,657.2,13391743400,3.60005E+11,70283315600,3.75875E+11,5684669000,4.54219E+11,3.90178E+11,3.58037E+11,94403534600,4.5244E+11,1.10459E+11,1000,1.725E+11,34500000,40257320000,1.67371E+11,3.61784E+11,8.14224E+11,1.02227E+12,75645828200,75240051600,16564951800,26046522000,33530020600,9081453800,1246886600,7834567600,238,1.61794E+11,9873096000,6,9873096000,54218209000,7834567600,-42983596800,48849377600,-15759493400,-4524881400,17916625200,13391743400,3.458,-1.388,9.132,44.938,-34.764,-31.698,-5.278,1.152,4.144,2.144,5.266,2.98,0.91,0.776,1.616,44.478,125.192,1.278,120.196,1022086772
대상,A2,4537.4,90699175400,6.79361E+11,3.89231E+11,6.80167E+11,66877594800,1.17665E+12,1.85601E+12,4.92933E+11,4.66021E+11,9.58954E+11,36018248000,1000,34648025000,34648025,73467953000,6.21627E+11,8.97052E+11,1.85601E+12,2.21761E+12,6.19609E+11,5.12003E+11,1.07606E+11,68042104000,78982385800,96666019400,28336486600,68329532400,1897.8,6.01394E+11,19103373800,53,19103373800,1.11207E+11,68329532400,-19394798200,2.68209E+11,-1.02935E+11,-11122769800,1.03032E+11,90699175400,-2.34,5.116,8.538,5.464,16.48,15.18,-4.056,5.154,11.014,7.784,268.384,189.71,4.352,3.076,4.854,48.37,107.218,1.18,2390.55,489178454
대상홀딩스,A2,18.2,21610850600,33202356400,3.70534E+11,149505800,2748420000,3.75545E+11,4.08748E+11,4365117000,15011616600,19376733600,37126020000,1000,36212538000,36212538,2.70311E+11,81934357400,3.89371E+11,4.08748E+11,19503169000,19503169000,8010997000,11492172000,2688571200,869422200,13311320600,1509425400,11801895200,317.8,75762357400,6914574600,18.6,6914574600,13042269600,11801895200,-13499104200,33122664200,-8465750400,-8922585600,30555154000,21610850600,0.98,1.14,11.092,9.852,25.358,25.022,50,3.276,3.436,3.048,35.856,31.79,68.328,60.61,58.97,95.26,4.972,0.046,948.78,1100662574
대한제당,A2,554.8,70183177400,4.58364E+11,3.28653E+11,1.91349E+11,7956553200,5.29522E+11,9.87886E+11,2.74062E+11,2.57907E+11,5.31969E+11,24044835000,2500,22100005000,8840002,15578354000,2.33731E+11,4.55917E+11,9.87886E+11,1.12469E+12,1.0662E+11,85964086600,20655939200,27105917400,37246278800,10515577800,3564604200,6950973600,787.4,6078521600,4989042000,22,4989042000,7462326400,6950973600,-17977059400,51562173000,-14829931200,-25344664200,95545061200,70183177400,-2.264,-0.342,-2.178,148.954,-37.282,-37.96,2.752,1.052,2.306,1.522,43.73,28.908,0.934,0.62,1.858,46.15,116.68,1.128,1835.826,2029514624
롯데글로벌로지스,A2,1440.8,97019697800,3.40012E+11,58713601800,2.62733E+11,11374955800,3.83373E+11,7.23384E+11,2.05304E+11,1.8222E+11,3.87524E+11,1.19479E+11,5000,1.19479E+11,23895719.6,2.29957E+11,-16347416000,3.3586E+11,7.23384E+11,1.11065E+12,42344782400,64674347000,-22329564600,17245788400,13113169400,-18196945600,2628818400,-20825763600,-916.6,-20306102000,0,0,0,357025000,-20825763600,-65447296400,92847679400,56651190400,-8439081000,1.05818E+11,97019697800,7.656,26.74,6.626,0,0,0,-4.344,-2.614,-5.99,-6.896,-16.23,-18.642,-1.646,-1.884,-2.018,46.422,115.424,1.584,181.162,771911758
매일유업,A2,2080,52157302800,3.41463E+11,8965116400,2.23953E+11,8121117200,2.65002E+11,6.06464E+11,2.02607E+11,79015004600,2.81622E+11,3874771000,500,3874771000,7749542,2.5368E+11,69379601800,3.24842E+11,6.06464E+11,1.13252E+12,3.31836E+11,2.6503E+11,66806544000,10668063600,12185849600,65288759000,14703409600,50585349400,6605.6,69174257200,4662017400,120,4662017400,74903149200,50585349400,-38777852000,44202886600,-24071642000,12053654800,40488737200,52157302800,4.38,21.65,47.54,51.01,81.47,75.98,6.23,10.876,21.088,16.35,1697.122,1315.044,5.664,4.396,5.884,53.48,88.04,1.886,8280.272,542015402
씨제이프레시웨이,A2,5245.4,27069229200,4.41091E+11,2.88009E+11,87272723200,24326343200,4.45508E+11,8.86599E+11,4.89801E+11,1.98315E+11,6.88116E+11,11871586000,1000,11871586000,11871586,1.00181E+11,46041492800,1.98482E+11,8.86599E+11,1.98352E+12,2.85661E+11,2.45548E+11,40113195200,11378055200,42646649400,8844601400,4081067200,4763533600,401,32874458600,2889117000,20,2889117000,43093747000,8844601400,-37428125800,45941956600,-5984233200,-318611800,27387904600,27069229200,1.95,-0.538,11.612,26.75,0,0,53.24,0.99,4.478,2.418,74.502,40.124,0.402,0.208,2.032,22.388,346.706,2.256,1571.908,401058366
에스케이건설,A2,4931.6,5.86294E+11,2.77009E+12,9.6614E+11,1.54907E+11,14260352600,1.5205E+12,4.2906E+12,2.39586E+12,7.19788E+11,3.11564E+12,2.52854E+11,5000,1.76486E+11,35297293,6.85995E+11,2.12746E+11,1.17495E+12,4.2906E+12,6.43738E+12,4.34477E+11,3.01519E+11,1.32959E+11,3.45297E+11,3.3958E+11,1.38675E+11,74799311200,63875808400,1299.4,3.06613E+11,30341745800,12,30341745800,2.30969E+11,63875808400,1.80728E+11,1.89577E+11,-3.60332E+11,51365089600,5.34929E+11,5.86294E+11,-5.396,-9.456,-4.172,-37.43,7.444,0.482,-4.264,3.118,11.16,5.206,54.844,25.262,2.15,0.992,2.066,27.384,266.104,1.456,370.072,1305806902
엘에스전선아시아,A2,4.6,853752200,8242614200,2.76019E+11,124360000,246905800,2.76492E+11,2.84735E+11,354346000,10343339600,10697685000,15312440000,500,15312440000,30624879,2.49505E+11,9220015000,2.74037E+11,2.84735E+11,7523613800,7523613800,1464515200,6059099000,45029400,248138200,5855989800,155629000,5700360600,186,8089891200,4899981000,32,4899981000,5506752600,5700360600,-7112946600,7121977800,-777481400,-2383675400,3237427600,853752200,1.826,0.322,1.592,-1.834,-4.016,-3.988,7,2.074,2.138,2.084,38.24,37.228,77.842,75.768,80.534,96.244,3.902,0.03,1689.642,1654564220
유안타증권,A2,1681,1.40559E+12,0,0,0,38054840400,0,1.12641E+13,0,0,1.01383E+13,1.06251E+12,5000,9.97945E+11,199588920,1303000,45408713600,1.12577E+12,1.12641E+13,1.97617E+12,0,3.14848E+11,76267416000,22798367800,5239505800,93826278000,5277170000,88549108000,431,40513207400,0,0,0,-63716577600,88549108000,63030033800,31249809800,-84344642800,-85031186600,7.29794E+11,6.44412E+11,4.874,7.562,16.532,201.258,126.122,121.664,0.924,0.848,8.574,8.106,8.83,8.338,4.72,4.458,3.836,9.996,901.796,0.18,11.258,1175415492
태영건설,A2,1363.6,55701610000,9.21152E+11,8.88841E+11,1.62375E+11,9283222200,1.19713E+12,2.11828E+12,8.19829E+11,4.25272E+11,1.2451E+12,39478740000,500,38200000000,76400000,1.01201E+11,7.37402E+11,8.73184E+11,2.11828E+12,1.79399E+12,3.39298E+11,89234396800,2.50064E+11,22398905400,1.148E+11,1.57663E+11,53690492800,1.03972E+11,1519.8,1.5538E+11,7875747600,22.2,7875747600,34256693000,1.03972E+11,-81900343600,1.52906E+11,40574650200,-7069000800,62770610800,55701610000,21.206,11.476,40.9,123.794,229.946,307.686,16.52,8.042,18.838,12.346,399.36,263.364,8.652,5.61,13.976,41.402,142.036,0.924,2191.466,1309170598
포스코건설,A2,5474.8,4.18297E+11,3.68561E+12,1.022E+12,64999471400,2.44554E+11,2.34764E+12,6.03325E+12,2.94705E+12,4.85319E+11,3.43237E+12,2.09033E+11,5000,2.09033E+11,41806694,1.11723E+12,1.35634E+12,2.60088E+12,6.03325E+12,6.50226E+12,6.13369E+11,2.95235E+11,3.18135E+11,4.20343E+11,4.43674E+11,2.94804E+11,1.79862E+11,1.14942E+11,2749,54698929400,20903347000,10,20903347000,2.11953E+11,1.14942E+11,1.89993E+11,6.14042E+11,-3.81984E+11,19962490400,3.99738E+11,4.18297E+11,-7.682,-1.354,8.904,20.05,144.73,143.48,5.928,4.742,11.276,4.396,141.03,54.99,4.498,1.754,4.89,43.336,131.726,1.036,1144.238,1187535484
하이투자증권,A2,757.4,3.43866E+11,0,0,0,21629362200,0,5.43575E+12,0,0,4.70847E+12,2.00686E+11,500,2.00686E+11,401372942,4.13676E+11,1.19616E+11,7.27272E+11,5.43575E+12,7.81303E+11,0,1.84763E+11,42737644000,5679140600,7366959200,41049825200,11006884000,30042941200,74.8,1.14068E+11,0,0,0,-6.88309E+11,30042941200,-14571443600,2.09526E+11,7.02704E+11,-176769200,74131074000,73899886400,8.29,3.82,7.59,171.292,373.68,524.85,-1.354,0.772,5.696,4.164,20.452,14.968,5.102,3.722,5.334,13.414,646.69,0.15,262.394,1031594116
한국캐피탈,A2,159.8,1.07206E+11,0,0,0,5545219400,0,1.79329E+12,0,0,1.55951E+12,84104788000,500,84104788000,168209576,37751246000,1.18797E+11,2.33786E+11,1.79329E+12,1.21381E+11,0,20757952200,16322506000,1396551000,1228237200,16490819400,3909831400,12580988000,76.4,11881206800,1224877600,3.44,1224877600,-2.47737E+11,12580988000,-15149330200,24879262000,2.83455E+11,20568747600,70393813200,90959906600,16.31,16.886,29.476,57.292,88.16,86.812,20.636,0.968,7.426,5.666,19.608,14.96,12.916,9.866,13.022,13.012,668.8,0.072,180.326,752167246
한화,A2,5904.6,3.14915E+11,1.99735E+12,4.4368E+12,1.09873E+12,83899721600,5.66135E+12,7.6587E+12,2.72016E+12,1.61703E+12,4.33718E+12,4.8955E+11,5000,3.74794E+11,74958735,3.42536E+11,2.26249E+12,3.32152E+12,7.6587E+12,4.99053E+12,6.09029E+11,3.25459E+11,2.83569E+11,3.00982E+11,2.84329E+11,3.00222E+11,65372726800,2.34849E+11,3177.2,9.88632E+11,59761532600,13.2,59761532600,3.76417E+11,2.34849E+11,-11453141400,3.65551E+11,-3.25986E+11,38977954200,2.75937E+11,3.14915E+11,0.908,4.684,3.934,15.672,60.456,66.818,6.162,3.934,9.218,7.194,61.326,47.972,5.974,4.654,5.676,43.364,130.622,0.652,582.722,844620112
한화투자증권,A2,1020.8,6.12222E+11,0,0,0,46897716200,0,6.6918E+12,0,0,5.77572E+12,8.86213E+11,5000,8.62213E+11,172442511,3330641000,66383529800,9.16074E+11,6.6918E+12,1.80257E+12,0,2.14951E+11,82933611200,4391494800,6185641800,81139463200,19903037400,61236425800,346.8,52274634400,0,0,0,-1.91116E+11,61236425800,-50839747000,94990439600,2.57554E+11,15598518200,69118814400,84695435600,2.338,7.304,9.648,62.08,65.92,65.45,1.972,1.222,9.112,6.878,9.158,6.91,4.456,3.368,4.56,13.684,630.736,0.272,4.4,1765088346
현대비앤지스틸,A2,459,52494673800,3.45239E+11,30993304400,1.82933E+11,16375235200,2.50285E+11,5.95525E+11,1.4958E+11,70745567400,2.20325E+11,75943315000,5000,75394055000,15078811,0,2.98289E+11,3.75199E+11,5.95525E+11,7.17261E+11,67699495800,34490808600,33208686800,11297612200,16710865200,27795433800,8331670400,19463763400,1281.2,1.96103E+11,1524359000,2,1524359000,25579118200,27795433800,-23577645800,24135192600,-5326017400,-3324545400,55859804600,52494673800,3.104,4.816,2.804,1.678,-3.532,-5.354,1.77,4.74,7.586,5.31,36.604,25.628,3.876,2.71,4.63,62.996,58.746,1.224,394.05,1562660956
현대종합상사,A2,258.8,78281804800,6.47804E+11,3.00285E+11,339312600,13311276000,3.17215E+11,9.65019E+11,5.83276E+11,54610802800,6.37887E+11,66144830000,5000,66144830000,13228966,0,4.33314E+11,3.27132E+11,9.65019E+11,3.37302E+12,83790060200,58674336400,25115724400,1.06293E+11,1.27654E+11,3755374400,-6408199200,10163573000,801.2,4.26197E+11,7595380000,12,7595380000,17388259800,10163573000,-6214445600,16076374600,-49423062400,-38249248200,1.16972E+11,78281804800,-15.212,-15.214,11.296,37.848,-8.06,317.49,-3.59,0.28,0.838,2.4,5.68,15.366,0.122,0.326,0.744,33.866,195.302,3.238,412.828,13050851512
효성캐피탈,A2,192.4,1.1055E+11,0,0,0,6701960800,0,2.52232E+12,0,0,2.1194E+12,45336315000,5000,45336315000,9067263,57593637000,3.00478E+11,4.02915E+11,2.52232E+12,2.10987E+11,0,35827255400,32138832800,1547883000,345717000,33340999200,8907731000,24433268200,2716,25064762400,13493541000,29.76,13493541000,1.21786E+11,33340999200,-7488094000,45821407400,-89437994600,24859839400,81182644400,1.06042E+11,-3.114,1.764,1.848,78.162,81.546,82.054,-4.856,1.3,8.35,6.122,73.54,53.892,15.824,11.564,15.28,16.03,526.086,0.084,793.82,1096135380
AJ네트웍스,B,531.6,28932326400,2.25329E+11,2.28765E+11,5.64168E+11,6505892200,8.0983E+11,5.82181E+11,4.40057E+11,3.18254E+11,7.5831E+11,33136572600,2600,46822295000,46822295,1.03721E+11,1.52507E+11,2.76849E+11,1.03516E+12,3.15986E+11,1.12232E+11,50238041000,37037933800,18724722200,56416752400,-654096400,5638618800,-6292715200,-134.2,1.49111E+11,4420024800,9.44,4420024800,-49617884800,-6292715200,-77840390800,1.26845E+11,1.12923E+11,-14535057600,43487042600,28932326400,14.574,-3.918,18.508,11.982,17.99,11.36,10.858,0.076,12.114,-2.318,-1.398,11.158,0.402,-1.406,11.814,26.87,275.554,0.322,491.274,594866690
